"gene"	"out"	"MP"
"Gpcpd1"	19.2772139344123	"MP1"
"Ptafr"	19.2687700912593	"MP1"
"Ube2s"	19.2327358819817	"MP1"
"Cox5a"	19.2230586294738	"MP1"
"Wwp2"	19.2175542008558	"MP1"
"Dgkd"	19.1883199596781	"MP1"
"Arl15"	19.1385002729338	"MP1"
"Antxr2"	19.1299052082975	"MP1"
"Bre"	19.0981564669682	"MP1"
"Foxp1"	19.0401017330696	"MP1"
"Hist1h4i"	19.0399935927531	"MP1"
"Ndufa7"	19.0046458082565	"MP1"
"Nktr"	18.9745772169681	"MP1"
"Gpx4"	18.9703393505209	"MP1"
"Lrg1"	18.9605741398411	"MP1"
"Ncl"	18.9507405936665	"MP1"
"Rpl35"	18.9351302787567	"MP1"
"Atp5b"	18.9224157799876	"MP1"
"Ubn1"	18.9024911366858	"MP1"
"Braf"	18.8797932506787	"MP1"
"Apoe"	18.8735388622383	"MP1"
"Txnip"	18.8540217621528	"MP1"
"Syk"	18.8386522622556	"MP1"
"Sf3b6"	18.8185861003097	"MP1"
"Arhgap26"	18.8088484064089	"MP1"
"Rbx1"	18.8057002704835	"MP1"
"Chd7"	18.804657699921	"MP1"
"Irak2"	18.7315548707531	"MP1"
"Psap"	18.7258512189205	"MP1"
"Pcbp2"	18.6753385006167	"MP1"
"Marcks"	18.6703669841949	"MP1"
"Rtn4"	18.6295354513211	"MP1"
"Diaph2"	18.5680088652827	"MP1"
"Ifngr1"	18.5271526089032	"MP1"
"Gngt2"	18.5132791622958	"MP1"
"Usmg5"	18.506226425821	"MP1"
"Socs3"	18.496494929356	"MP1"
"Itsn2"	18.4645793567503	"MP1"
"Nipbl"	18.4480153014979	"MP1"
"Plac8"	18.435673320657	"MP1"
"Csnk1a1"	18.4178954241361	"MP1"
"mt-Nd2"	18.3767716828713	"MP1"
"Etv6"	18.3762499581049	"MP1"
"Rnh1"	18.356863521432	"MP1"
"Serp1"	18.3311214834052	"MP1"
"Kmt2c"	18.2918400507601	"MP1"
"Fosl2"	18.2791558270923	"MP1"
"Sumo2"	18.2752110488026	"MP1"
"Chmp4b"	18.2469650817834	"MP1"
"Gmfg"	18.2410380899097	"MP1"
"Klf13"	18.2285561350938	"MP1"
"Ctsa"	18.1866740350207	"MP1"
"Atp5h"	18.1799047443885	"MP1"
"2310001H17Rik"	18.1760818966048	"MP1"
"Cirbp"	18.1455326194823	"MP1"
"Ptpn12"	18.141795610179	"MP1"
"Zcchc7"	18.1362309763677	"MP1"
"Acap2"	18.1258413472867	"MP1"
"Brd4"	18.1057176011222	"MP1"
"Gna13"	18.095774355602	"MP1"
"Osbpl9"	18.0884498983637	"MP1"
"Pcbp1"	18.0600234015629	"MP1"
"Sqstm1"	18.0201061929168	"MP1"
"Asap1"	18.0109594313603	"MP1"
"Elf2"	17.9973961911552	"MP1"
"Napa"	17.9932611513666	"MP1"
"Snx20"	17.9757015645398	"MP1"
"Vps26a"	17.9526003528566	"MP1"
"Chmp2a"	17.9482192511636	"MP1"
"Rock1"	17.9412547993716	"MP1"
"Arhgdia"	17.9317479231457	"MP1"
"Pla2g7"	17.9210378762276	"MP1"
"Dnajb6"	17.9021628017754	"MP1"
"Csrnp1"	17.8989943185373	"MP1"
"Ambra1"	17.8736432829284	"MP1"
"Gpx1"	17.8596066778012	"MP1"
"Sgpl1"	17.848315087395	"MP1"
"Ascc3"	17.8196325079089	"MP1"
"Ywhae"	17.814187406912	"MP1"
"Nup98"	17.7956639269606	"MP1"
"Tnfrsf1b"	17.7944450111683	"MP1"
"Ifitm1"	17.779907577842	"MP1"
"Iqgap1"	17.7350772925302	"MP1"
"Cd300lf"	17.7134609472366	"MP1"
"Emilin2"	17.7099062207172	"MP1"
"Smchd1"	17.6833381169666	"MP1"
"Slbp"	17.6758368431455	"MP1"
"Dclre1c"	17.6735126799181	"MP1"
"Shfm1"	17.671309514109	"MP1"
"Arpc5"	17.6683942888163	"MP1"
"Tmed10"	17.6343376490127	"MP1"
"Myo1d"	17.6163318441632	"MP1"
"Hnrnpm"	17.6067472760774	"MP1"
"Rpl23a"	17.6062381273445	"MP1"
"Mrfap1"	17.5798598117867	"MP1"
"Dedd2"	17.5733891800653	"MP1"
"Zmiz1"	17.5010515628096	"MP1"
"Spi1"	17.4994480244192	"MP1"
"Atp6v1c1"	17.3263447437447	"MP1"
"Abi1"	17.3216006733167	"MP1"
"Ptp4a2"	17.3180250903874	"MP1"
"Baz1a"	17.3055016422698	"MP1"
"Cask"	17.2758849760321	"MP1"
"Myl12a"	17.2509060996891	"MP1"
"Rpl32"	17.1604964181201	"MP1"
"Chka"	17.1541933391484	"MP1"
"Vamp4"	17.1494726232508	"MP1"
"Npc2"	17.127617349127	"MP1"
"Lcp2"	17.1137821074747	"MP1"
"Cox17"	17.069545036464	"MP1"
"Slfn2"	17.0678916180354	"MP1"
"Lsp1"	17.056056855113	"MP1"
"Tma7"	17.0453142337692	"MP1"
"Atp6v1e1"	17.0438476964167	"MP1"
"Minos1"	17.0289707364796	"MP1"
"Slc20a1"	16.9979951604948	"MP1"
"Abr"	16.9776862218519	"MP1"
"Pmaip1"	16.9671915397838	"MP1"
"Capzb"	16.945880862976	"MP1"
"Sfpq"	16.9166563862703	"MP1"
"Cks2"	16.8829501088092	"MP1"
"Klf10"	16.8813090964331	"MP1"
"Tpst2"	16.8750452341031	"MP1"
"Capza2"	16.8648620028118	"MP1"
"Fam104a"	16.8625978763894	"MP1"
"Arf5"	16.8259345413264	"MP1"
"Iqsec1"	16.8120028168661	"MP1"
"Lcorl"	16.7883371079925	"MP1"
"Cyth1"	16.7560213316089	"MP1"
"Mef2a"	16.7409470259894	"MP1"
"Uqcrq"	16.6924807231753	"MP1"
"Reep5"	16.6809903458414	"MP1"
"Pip5k1b"	16.678439851522	"MP1"
"Adam17"	16.6159954278111	"MP1"
"Mycbp2"	16.5973919067238	"MP1"
"Lilrb4a"	16.5266962897008	"MP1"
"Zc3hav1"	16.5187544233907	"MP1"
"Mapre2"	16.506279700604	"MP1"
"Gnb2"	16.4425750683432	"MP1"
"Erp29"	16.4376397825957	"MP1"
"Zfand3"	16.4076320210647	"MP1"
"Rac2"	16.3976000193808	"MP1"
"Hnrnpa3"	16.372622379584	"MP1"
"Rybp"	16.3659637599776	"MP1"
"Dip2b"	16.3513279680184	"MP1"
"Hnrnph2"	16.3302082247019	"MP1"
"Ndfip2"	16.3032709157362	"MP1"
"Xist"	16.2561691197859	"MP1"
"Zfp36l1"	16.2556208152	"MP1"
"Npepps"	16.252427603149	"MP1"
"Pgam1"	16.234153208409	"MP1"
"Ankrd11"	16.1995673486163	"MP1"
"Dyrk1a"	16.1925534301574	"MP1"
"Ccnl2"	16.1900022686171	"MP1"
"Gnai2"	16.1779688443993	"MP1"
"Osgin1"	16.1770659784193	"MP1"
"Matr3"	16.1646170067876	"MP1"
"Mdm2"	16.1641257699795	"MP1"
"Polg2"	16.1598237353496	"MP1"
"Jmy"	16.1320573456629	"MP1"
"Mkrn1"	16.098884865305	"MP1"
"Marcksl1"	16.0940425221208	"MP1"
"Man2b1"	16.0895353489165	"MP1"
"Nap1l1"	16.0496052090375	"MP1"
"Akap13"	16.0356263605669	"MP1"
"Actr2"	16.0336643335777	"MP1"
