"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Sf3b1",19.8899718388584,12.8561285285473,9.95967002156295,10.3367114308029,10.0474374349453,16.7257944662698,22.7673058680735,15.5571506075793,16.2024512922498
"Coq10b",29.5162787461225,22.0197741895449,18.0406298002307,6.06530920665566,16.4046394327271,22.5335516166326,26.5848977087839,42.7499373540659,23.4228704042305
"Hspd1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.16656062476501,2.22044604925031e-16,2.22044604925031e-16,0.406542387947973,2.22044604925031e-16,2.22044604925031e-16
"Mob4",15.3351458171107,1.73099897918281,9.65622718755005,4.28061095846106,3.3583390240943,13.0353619060953,3.56452985914877,7.28680319403674,10.4269377711313
"Rftn2",0.591845718195816,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.294303029265313,2.22044604925031e-16,0.303526493910054
"Plcl1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.12421360374421,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Kctd18",2.22044604925031e-16,2.22044604925031e-16,0.625676748460265,2.22044604925031e-16,0.779828625393782,2.22044604925031e-16,0.577159722691015,2.22044604925031e-16,2.22044604925031e-16
"Bzw1",3.58793755660376,4.36672746581596,7.24176725561089,4.90841419867093,2.67765189928396,2.22044604925031e-16,3.99317452316781,4.04658846761035,1.44297679754035
"Clk1",16.3261089871995,14.4605238483878,15.4038951255744,4.96021961919445,19.8455346781335,16.7598146701376,13.8953677530515,21.3737056632258,20.8129788408796
"Ppil3",0.701834787129986,0.639587770768079,1.19885931659261,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.756949787096779,2.22044604925031e-16
"Nif3l1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.642821289356747,0.512987294673587,2.22044604925031e-16
"Ndufb3",1.5030635190106,0.0890341609350111,2.18413967884066,3.32810166025341,0.218297231625686,2.22044604925031e-16,2.22044604925031e-16,3.6409153532153,2.44577393659912
"Cflar",6.28503984859646,1.50310564369432,2.37703402568575e-10,0.163903316378829,2.84508791615464,2.22044604925031e-16,27.1726889010585,2.22044604925031e-16,10.1574919899318
"Casp8",2.22044604925031e-16,1.21015373785872,2.22044604925031e-16,1.86070309599437,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Trak2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.31994823212887,6.57458276159574e-12,2.83329314189959,2.22044604925031e-16,1.91843854670968,2.22044604925031e-16
"Stradb",2.22044604925031e-16,1.19936068048071,2.22044604925031e-16,2.22044604925031e-16,0.39891454490432,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Als2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.337452705642026,1.16746205371014,0.634758190234202,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Sumo1",3.7098397370077,3.03333302069672,5.732658910096,2.1821998507361,1.87838422010688,2.63634317436327,8.39794458032916,6.6884917144344,11.1278518132834
"Nop58",1.22768851944188,2.22044604925031e-16,0.266306915636409,2.08560282572745,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Bmpr2",0.6941769979769,5.41454863757592,1.24546144061584,2.13598054201942,11.0201301922415,4.45512657014174,6.92914967176541,0.843678539833969,7.05372057760967
"Fam117b",0.00055854879731073,2.22044604925031e-16,2.22044604925031e-16,1.55420364273107,2.15642457348609,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.85964585870411
"Nbeal1",2.88932365198611,2.22044604925031e-16,1.33191212030354,2.53231995111239,0.498620888783212,2.78695580825884,6.45174747211673,2.22044604925031e-16,1.35074249695613
"Icos",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.94776741350061,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
